group,sample,duration,channels,frames,rate,file
drum,drum_tom_mid_hard,0.734,1,32379,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/drum_tom_mid_hard.flac
drum,drum_tom_mid_soft,0.672,1,29641,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/drum_tom_mid_soft.flac
elec,elec_beep,0.106,1,4665,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_beep.flac
elec,elec_bell,0.278,1,12271,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_bell.flac
elec,elec_blip,0.158,1,6975,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_blip.flac
elec,elec_blip2,0.184,1,8118,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_blip2.flac
elec,elec_blup,0.663,2,29248,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_blup.flac
elec,elec_bong,0.346,1,15280,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_bong.flac
elec,elec_chime,2.278,1,100440,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_chime.flac
elec,elec_cymbal,0.563,1,24838,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_cymbal.flac
elec,elec_filt_snare,1.516,1,66849,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_filt_snare.flac
elec,elec_flip,0.075,2,3297,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_flip.flac
elec,elec_fuzz_tom,0.372,2,16396,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_fuzz_tom.flac
elec,elec_hi_snare,0.197,1,8704,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_hi_snare.flac
elec,elec_hollow_kick,0.156,2,6864,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_hollow_kick.flac
elec,elec_lo_snare,0.661,1,29141,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_lo_snare.flac
elec,elec_mid_snare,0.726,1,32000,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_mid_snare.flac
elec,elec_ping,0.212,1,9361,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_ping.flac
elec,elec_plip,0.199,2,8768,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_plip.flac
elec,elec_pop,0.087,1,3828,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_pop.flac
elec,elec_snare,0.389,1,17169,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_snare.flac
elec,elec_soft_kick,0.136,2,6016,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_soft_kick.flac
elec,elec_tick,0.019,2,857,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_tick.flac
